server started at 3000
/ GET
/api/video GETbytes=0-
/api/video GETbytes=63537152-
/api/video GETbytes=294912-
/api/video GETbytes=1294913-
/api/video GETbytes=2294914-
/api/video GETbytes=3294915-
/api/video GETbytes=4294916-
/api/video GETbytes=5294917-
/api/video GETbytes=6294918-
/api/video GETbytes=7294919-
/api/video GETbytes=8294920-
/api/video GETbytes=9294921-
/api/video GETbytes=10294922-
/api/video GETbytes=11294923-
/api/video GETbytes=12294924-
/api/video GETbytes=13294925-
/api/video GETbytes=14294926-
/api/video GETbytes=15294927-
/api/video GETbytes=16294928-
/api/video GETbytes=17294929-
/api/video GETbytes=18294930-
/api/video GETbytes=19294931-
/api/video GETbytes=20294932-
/api/video GETbytes=21294933-
/api/video GETbytes=22294934-
/api/video GETbytes=23294935-
/api/video GETbytes=24294936-
/api/video GETbytes=25294937-
/api/video GETbytes=26294938-
/api/video GETbytes=27294939-
/api/video GETbytes=28294940-
/api/video GETbytes=29294941-
/api/video GETbytes=30294942-
/api/video GETbytes=31294943-
